Env,Rep,Block,Genotype,Female,Male,PED,PHT,EHT,LAE,LAT,LATP,LAI,DTA,DTS,ASI,SDL,SDU,TW,TSL,TBN,KW,KL,KD,KS,KPP,CAN,ZIP,SC,PBP,LDR,LDS,EL,FILL,STG,EW,ERW,KRW,TWA,IPY,TGY
MF400,2,18,103,MOB-C1-010-DH-003,RHM-C1-036-DH-022,MOB-C1-010-DH-003 X RHM-C1-036-DH-022, , , , , , , , , , , , , , , , , , , , , ,81, , , , , , , , , , , , 
MF400,3,14,103,MOB-C1-010-DH-003,RHM-C1-036-DH-022,MOB-C1-010-DH-003 X RHM-C1-036-DH-022,209,127,557.11,2910.97,42996.94,3.580965861,65,68,3,18.05,6.406666667,1.64,33.64,9.4,77.5,118,44.5,406952.5,398.75,66,44,100,3,43,1,132.4,116,4,43.6,14.5,27.5,45.89112426,0.028861564,3550.965148
MF400,1,10,104,MOB-C1-007-SSD-021,MOB-C1-036-SSD-012,MOB-C1-007-SSD-021 X MOB-C1-036-SSD-012,175,104,529.61,2767.28,27852.59,3.302077581,68,68,0,20.372,8.433333333,2.16,33.92,15.4,75.5,114,43.5,374404.5,355.6,65,74,97,22.68,0,2.06,119.4,103.4,7,42.8,14,25.4,53.47065089,0.041807111,4989.40124
MF400,2,15,104,MOB-C1-007-SSD-021,MOB-C1-036-SSD-012,MOB-C1-007-SSD-021 X MOB-C1-036-SSD-012,175,95,556.47,2907.61,62220.49,3.648367312,68,72,4,17.158,9.703333333,1.44,29.36,10.8,77.5,103.5,41,328871.25,290.36,66,80,102,20.59,0,2.94,108,100.4,6,40.4,12.2,23.8, ,0.023270848,2920.377082
MF400,3,9,104,MOB-C1-007-SSD-021,MOB-C1-036-SSD-012,MOB-C1-007-SSD-021 X MOB-C1-036-SSD-012,170,95,574.82,3003.51,59530.31,3.583956677,68,72,4,18.338,8.27,1.7,32.96,13.8,76,102,48.5,375972,303.6,66,34,97,10.31,0,0,114.8,103.8,5,42.6,13.2,23,46.16591716,0.023117272,2758.89297
MF400,1,18,105,MOB-C1-059-DH-003,RHM-C1-061-DH-005,MOB-C1-059-DH-003 X RHM-C1-061-DH-005,184,97,637.48,3330.88,139163.05,3.72874182,66,69,3,17.02,8.763333333,2.26,42.24,8.6,74,99,57.5,421245,212.63,66,78,91,56.04,1.1,0,106.6,81.5,6,34.5,13.5,15.75, ,0.013240609,1482.435802
MF400,2,8,105,MOB-C1-059-DH-003,RHM-C1-061-DH-005,MOB-C1-059-DH-003 X RHM-C1-061-DH-005,190,90,638.87,3338.18,135168.57,3.942236024,65,70,5,16.194,8.71,2.67,39.7,9,75.5,98.5,49,364400.75,263.38,64,33,96,19.79,0,0,136.2,100.6,5,35.6,12.25,21.5, ,0.011666856,1378.007584
MF400,3,3,105,MOB-C1-059-DH-003,RHM-C1-061-DH-005,MOB-C1-059-DH-003 X RHM-C1-061-DH-005,208,110,722.41,3774.65, ,4.364818878,65,67,2,18.804,8.193333333,1.88,40.2,7.25,77,94.5,53.5,389292.75,159.38,63,20,94,27.66,0,0,124.8,72.6,4,35.6,12.5,12.75, ,0.008388238,970.1192868
MF400,1,17,106,MOB-C1-007-SSD-028,MOB-C1-061-SSD-010,MOB-C1-007-SSD-028 X MOB-C1-061-SSD-010,215,105,569.52,2975.8,23918.71,3.514283886,64,68,4,15.726,7.653333333,1.48,34.02,8.8,74,116,46.5,399156,432.16,67,32,96,3.13,0,2.08,138,116.4,6,42.4,14.8,29.2,62.91889594,0.057598614,6803.146308
MF400,2,17,106,MOB-C1-007-SSD-028,MOB-C1-061-SSD-010,MOB-C1-007-SSD-028 X MOB-C1-061-SSD-010,196,100,586.66,3065.34,25940.31,3.770861995,65,68,3,18.598,7.9,1.38,36.04,8.4,72.5,99.5,51,367901.25,343.2,66,6,100,5,0,4,125.2,119.8,5,39.4,13.2,26,58.92781065,0.055735035,6857.326406
MF400,3,12,106,MOB-C1-007-SSD-028,MOB-C1-061-SSD-010,MOB-C1-007-SSD-028 X MOB-C1-061-SSD-010,187,93,611.06,3192.83,54817.71,3.809867299,63,68,5,18.73,7.156666667,1.6,38.86,12,75,103,46.5,359212.5,400.04,67,90,97,14.43,0,2.06,122.2,109.2,5,36.8,14.6,27.4,54.95893491,0.025870123,3087.427515
MF400,1,10,107,MOB-C1-059-DH-007,RHM-C1-036-DH-042,MOB-C1-059-DH-007 X RHM-C1-036-DH-042,174,90,533.74,2788.84,20014.96,3.327806868,66,70,4,16.442,7.406666667,2.14,32.22,11,67.5,104.5,42.5,299784.38,458.64,65,6,97,5.15,0,8.25,136,115.2,6,42.8,15.6,29.4,59.49908824,0.067752072,8085.760233
MF400,2,12,107,MOB-C1-059-DH-007,RHM-C1-036-DH-042,MOB-C1-059-DH-007 X RHM-C1-036-DH-042,180,90,539.78,2820.4,21524.03,3.365465566,65,67,2,17.812,7.19,2.38,33.46,12,69.5,100.5,46.5,324790.88,310.8,66,10,97,6.19,0,8.25,127.6,104.6,3,40.4,14.8,21,57.63171598,0.068616001,8188.86438
MF400,3,6,107,MOB-C1-059-DH-007,RHM-C1-036-DH-042,MOB-C1-059-DH-007 X RHM-C1-036-DH-042,137,82,617.53,3226.64,32636.99,3.73112843,63,67,4,15.336,6.8,2.38,34.43,12.5,72.5,98,42,298410,380.16, ,20,94,8.51,0,0,128.6,114,1,39,14.4,26.4,54.44923077,0.051514269,5957.745361
MF400,1,7,108,MOB-C1-059-DH-003,RHM-C1-036-DH-013,MOB-C1-059-DH-003 X RHM-C1-036-DH-013,160,78,477.66,2495.84,28328.29,2.978175369,62,66,4,17.286,8.433333333,2.02,37.06,7.6,72.5,95.5,46.5,321954.38,408,67,36,97,18.56,0,2.06,117.4,103.2,6,41.6,17,24,60.63434893,0.041192286,4916.026043
MF400,2,20,108,MOB-C1-059-DH-003,RHM-C1-036-DH-013,MOB-C1-059-DH-003 X RHM-C1-036-DH-013,160,94,538.87,2815.65,32048.76,3.498339939,61,66,5,16.575,7.186666667,2.15,38.43,8.25,71,102.5,47.5,345681.25,408,66,2,101,9.9,0,0.99,136.2,122.6,6,39.6,16,25.5,57.63171598,0.037476671,4657.028745
MF400,3,4,108,MOB-C1-059-DH-003,RHM-C1-036-DH-013,MOB-C1-059-DH-003 X RHM-C1-036-DH-013,160,100,567.9,2967.32,39730.71,3.504266935,61,64,3,16.075,6.716666667,1.82,37.7,7.4,68.5,94,49.5,318730.5,234.08,63,4,96,10.42,7.29,0,110.6,83,6,40.5,15.2,15.4,53.30556213,0.038810613,4584.038725
MF400,1,10,109,MOB-C1-007-SSD-013,MOB-C1-036-SSD-002,MOB-C1-007-SSD-013 X MOB-C1-036-SSD-002,172,85,577.9,3019.57,69066.11,3.417390793,69,72,3,17.988,7.536666667,2.78,33.68,14.2,80,103,52.5,432600,242.88,66,0,92,16.3,0,1.09,108,80.6,7,39.6,14.5,16.75, ,0.020905239,2366.298428
MF400,2,5,109,MOB-C1-007-SSD-013,MOB-C1-036-SSD-002,MOB-C1-007-SSD-013 X MOB-C1-036-SSD-002,160,80,603.51,3153.4,71823.73,3.646438997,68,72,4,17.245,8.34,3.04,40.46,12.6,83.5,99,63.5,524922.75,229.5,65,0,94,7.45,0,0,117,93.4,7,38.8,13.5,17, ,0.02308879,2670.272414
MF400,3,13,109,MOB-C1-007-SSD-013,MOB-C1-036-SSD-002,MOB-C1-007-SSD-013 X MOB-C1-036-SSD-002,176,75,593.38,3100.45,78478.29,3.699634554,67,74,7,19.828,8.503333333,2.18,36.06,13.2,75,96,47.5,342000,256.25,66,4,97,39.18,0,1.03,109.2,81,7,36.2,12.5,20.5, ,0.018286493,2182.371635
MF400,1,4,110,MOB-C1-059-DH-005,MOB-C1-061-DH-003,MOB-C1-059-DH-005 X MOB-C1-061-DH-003,197,80,563.39,2943.79,35370.73,3.404051998,65,67,2,19.176,9.13,1.6,40.74,7.8,71.5,108.5,51.5,399524.13,387.04,66,4,94,12.77,0,3.19,134.8,111,4,42.6,16.4,23.6, ,0.042562953,4922.504814
MF400,2,5,110,MOB-C1-059-DH-005,MOB-C1-061-DH-003,MOB-C1-059-DH-005 X MOB-C1-061-DH-003,186,75,565.93,2957.02,23069.08,3.419358531,65,67,2,20.361,7.386666667,2.22,39.34,9.6,75.5,104.5,52,410267,315.12,67,14,94,8.51,0,2.13,119.2,105,5,44.8,15.6,20.2,54.93869822,0.056895228,6580.065813
MF400,3,15,110,MOB-C1-059-DH-005,MOB-C1-061-DH-003,MOB-C1-059-DH-005 X MOB-C1-061-DH-003,178,100,696.06,3636.97,57154.73,4.563535123,61,67,6,18.451,6.796666667,1.78,40.22,10.6,77.5,103.5,53.5,429136.88,339,67,16,102,3.92,0,2.94,119.6,113.6,3,39.6,15,22.6, ,0.026312443,3302.08228
MF400,1,14,111,MOB-C1-059-DH-007,RHM-C1-061-DH-005,MOB-C1-059-DH-007 X RHM-C1-061-DH-005,220,103,547.59,2861.21,58662.13,3.519752586,68,69,1,17.763,7.143333333,2.64,41.96,10.4,73,99,48,346896,420.48,65,20,100,6,0,0,149,130,5,39.8,14.4,29.2, ,0.022783524,2803.157123
MF400,2,11,111,MOB-C1-059-DH-007,RHM-C1-061-DH-005,MOB-C1-059-DH-007 X RHM-C1-061-DH-005,190,85,540.62,2824.81,39496.01,3.370723652,70,72,2,16.59,7.71,1.86,37.34,8.6,69.5,95,55,363137.5,350,67,0,97,10.31,0,1.03,140.4,119,4,37.2,14,25, ,0.029092104,3471.949528
MF400,3,8,111,MOB-C1-059-DH-007,RHM-C1-061-DH-005,MOB-C1-059-DH-007 X RHM-C1-061-DH-005,187,93,533.32,2786.63,72105.44,3.222327204,68,71,3,18.213,8.386666667,2.6,39.03,10.75,72,98,45.5,321048,331.36,67,42,94,23.4,0,0,115.6,99.6,3,35.6,15.2,21.8, ,0.019764286,2285.78577
MF400,1,18,112,MOB-C1-007-SSD-005,MOB-C1-035-SSD-007,MOB-C1-007-SSD-005 X MOB-C1-035-SSD-007,165,81,426.44,2228.17,38320.6,2.631372921,66,70,4,19.536,7.033333333,2.62,39.92,15.8,68.5,99.5,47.5,323748.13,230.88,66,60,96,18.75,0,4.17,85.6,72.8,7,37.4,14.8,15.6, ,0.024721768,2919.962678
MF400,2,17,112,MOB-C1-007-SSD-005,MOB-C1-035-SSD-007,MOB-C1-007-SSD-005 X MOB-C1-035-SSD-007,160,95,531.65,2777.92,32978.82,3.451467753,66,71,5,18.225,8.46,2.28,38.52,13.6,60,108,44,285120,364,64,10,101,4.95,0,8.91,102.4,86.8,8,45,20,18.2,51.6260355,0.039714087,4935.060738
MF400,3,3,112,MOB-C1-007-SSD-005,MOB-C1-035-SSD-007,MOB-C1-007-SSD-005 X MOB-C1-035-SSD-007,178,92,578.26,3021.45,25676.24,3.493857036,65,69,4,20.116,7.006666667,2.14,36.78,15.8,58,107,47,291682,327.52,67,24,94,9.57,0,3.19,90.2,75,7,43.2,18.4,17.8,51.22094675,0.041444826,4793.190784
MF400,1,11,113,MOB-C1-007-SSD-022,MOB-C1-061-SSD-007,MOB-C1-007-SSD-022 X MOB-C1-061-SSD-007,185,90,543.64,2840.59, ,3.144946083,68,73,5,16.805,8.03,2.18,39.98,10,76.5,92,52,365976,165,67,65,90,30,0,0,103.5,85,7,38.5,11,15, , , 
MF400,2,2,113,MOB-C1-007-SSD-022,MOB-C1-061-SSD-007,MOB-C1-007-SSD-022 X MOB-C1-061-SSD-007,211,104,604.82,3160.23, ,3.848713411,66,71,5,18.97,7.163333333,2.16,39.38,9.8,72.5,103,41,306167.5,246.5,61,0,99,13.13,0,0,99.2,78.2,5,34.8,14.5,17, , , 
MF400,3,15,113,MOB-C1-007-SSD-022,MOB-C1-061-SSD-007,MOB-C1-007-SSD-022 X MOB-C1-061-SSD-007,199,104,735.08,3840.87, ,4.441391821,65,70,5,18.696,7.103333333,2.48,41.44,14.2,68,106,51.5,371212,383.04,67,50,94,9.57,0,0,129.6,114.8,4,43.6,15.2,25.2, , , 
MF400,1,7,114,MOB-C1-007-SSD-002,MOB-C1-036-SSD-004,MOB-C1-007-SSD-002 X MOB-C1-036-SSD-004,170,68,570.28,2979.79,35581.47,3.702275059,67,70,3,19.901,8.926666667,1.7,38.23,6.25,72.5,108.5,48,377580,442.4,67,10,101,7.92,0,1.98,137.8,120,7,44,15.8,28,60.80210388,0.041740185,5186.833253
MF400,2,7,114,MOB-C1-007-SSD-002,MOB-C1-036-SSD-004,MOB-C1-007-SSD-002 X MOB-C1-036-SSD-004,167,87,520.23,2718.25,66774.93,3.243573589,66,71,5,18.561,8.816666667,2.18,43.62,6.8,72,103.5,49.5,368874,308.81,66,28,97,19.59,0,0,132,112.25,7,41,15.25,20.25, ,0.019413168,2316.832844
MF400,3,20,114,MOB-C1-007-SSD-002,MOB-C1-036-SSD-004,MOB-C1-007-SSD-002 X MOB-C1-036-SSD-004,170,90,649.89,3395.76,33971.42,4.052009402,64,68,4,17.679,7.043333333,1.8,39.53,6.75,72,109.5,44,346896,393.12,63,96,97,7.22,0,0,127.8,104.5,7,39.2,15.6,25.2,56.66662722,0.04393094,5242.866248
MF400,1,15,115,MOB-C1-007-SSD-019,MOB-C1-061-SSD-005,MOB-C1-007-SSD-019 X MOB-C1-061-SSD-005,200,100,526.16,2749.24,88401.73,3.246726383,68,73,5,16.293,10.35666667,1.66,39.48,9.4,73,97.5,50,355875,310.5,67,50,96,38.54,0,1.04,93.4,72.4,6,33,13.5,23, ,0.016307779,1926.161097
MF400,2,14,115,MOB-C1-007-SSD-019,MOB-C1-061-SSD-005,MOB-C1-007-SSD-019 X MOB-C1-061-SSD-005,194,100,515.34,2692.72,30000.69,3.113731384,67,70,3,17.126,8.433333333,2.08,41.74,11,74,115,47.5,404225,350,64,6,94,14.89,1.06,1.06,122,103.4,4,40.4,14,25, ,0.036374983,4206.851582
MF400,3,4,115,MOB-C1-007-SSD-019,MOB-C1-061-SSD-005,MOB-C1-007-SSD-019 X MOB-C1-061-SSD-005,184,95,660.05,3448.83,64487.67,3.988056635,66,72,6,19.205,7.63,1.53,37.23,10,77.5,113,45,394087.5,342.22,66,20,94,22.34,0,0,142.6,109.75,4,38.75,13.33333333,25.66666667, ,0.027866476,3222.822948
MF400,1,20,116,MOB-C1-007-SSD-016,MOB-C1-036-SSD-007,MOB-C1-007-SSD-016 X MOB-C1-036-SSD-007,205,90,551.29,2880.53,45639.45,3.082856925,66,70,4,18.684,8.19,2.16,38.98,10.4,78,97.5,54,410670,206.08,62,22,87,17.24,0,6.9,126.6,111.2,7,36,11.2,18.4, ,0.036190666,3873.846198
MF400,2,16,116,MOB-C1-007-SSD-016,MOB-C1-036-SSD-007,MOB-C1-007-SSD-016 X MOB-C1-036-SSD-007,188,77,604.04,3156.15,31542.91,3.843749929,65,69,4,20.805,10.51,3.05,44.5,11.75,77,114.5,50,440825,342.24,67,0,99,7.07,0,1.01,159.4,130.8,6,40.4,13.8,24.8,56.90177515,0.04858679,5918.067893
MF400,3,12,116,MOB-C1-007-SSD-016,MOB-C1-036-SSD-007,MOB-C1-007-SSD-016 X MOB-C1-036-SSD-007, , , , , , , , , , , , , , , , , , , , , ,79, , , , , , , , , , , , 
MF400,1,12,117,MOB-C1-059-DH-002,RHM-C1-036-DH-003,MOB-C1-059-DH-002 X RHM-C1-036-DH-003,164,87,479.71,2506.53,26977.12,2.651757777,60,63,3,15.765,7.863333333,1.8,40.04,7,75,97,49.5,360112.5,284.16,67,62,86,4.65,0,1.16,105,80.4,4,38.8,14.8,19.2,56.13254438,0.057326651,6065.708963
MF400,2,10,117,MOB-C1-059-DH-002,RHM-C1-036-DH-003,MOB-C1-059-DH-002 X RHM-C1-036-DH-003, , , , , , , , , , , , , , , , , , , , , ,82, , , , , , , , , , , , 
MF400,3,9,117,MOB-C1-059-DH-002,RHM-C1-036-DH-003,MOB-C1-059-DH-002 X RHM-C1-036-DH-003, , , , , , , , , , , , , , , , , , , , , ,84, , , , , , , , , , , , 
MF400,1,10,118,MOB-C1-007-SSD-003,MOB-C1-061-DH-002,MOB-C1-007-SSD-003 X MOB-C1-061-DH-002,190,71,533.73,2788.79,25574.83,3.293437875,67,71,4,18.75,7.903333333,2.6,38.36,11.4,70,115,47,378350,389.76,72,40,96,7.29,0,2.08,136.6,112.8,6,42,16.8,23.2,57.15976331,0.042241314,4989.24918
MF400,2,16,118,MOB-C1-007-SSD-003,MOB-C1-061-DH-002,MOB-C1-007-SSD-003 X MOB-C1-061-DH-002,195,87,505.93,2643.55,31688.72,3.056875672,66,70,4,19.428,8.316666667,2.4,40.6,13,71.5,113,51.5,416094.25,367.36,66,32,94,6.38,0,1.06,146.8,116,5,43.4,16.4,22.4,56.46390533,0.041858158,4840.993668
MF400,3,15,118,MOB-C1-007-SSD-003,MOB-C1-061-DH-002,MOB-C1-007-SSD-003 X MOB-C1-061-DH-002,190,97,667.41,3487.3,80343.92,4.118345138,65,71,6,19.651,7.35,1.84,34.62,11.2,75.5,106.5,56.5,454302.38,292.6,67,40,96,9.38,0,3.13,145.6,120.6,3,41.4,15.4,19, ,0.020709902,2446.109066
MF400,1,15,119,RHM-C1-007-DH-001,RHM-C1-061-DH-010,RHM-C1-007-DH-001 X RHM-C1-061-DH-010,180,105,505.95,2643.64,74733.65,3.089497398,69,74,5,16.615,7.57,1.42,34.02,9,77.5,102.5,51.5,409103.13,280,69,38,95,43.16,49.47,0,117.75,97.66666667,4,34.66666667,13.33333333,21, ,0.018406885,2151.445998
MF400,2,3,119,RHM-C1-007-DH-001,RHM-C1-061-DH-010,RHM-C1-007-DH-001 X RHM-C1-061-DH-010,230,100,584.87,3056,49436.24,3.609002698,69,73,4,19.571,7.803333333,2.38,37.83,11,70,106.5,47.5,354112.5,409.5,67,28,96,13.54,14.58,0,132.75,112,5,43.5,18,22.75, ,0.022778403,2690.426
MF400,3,19,119,RHM-C1-007-DH-001,RHM-C1-061-DH-010,RHM-C1-007-DH-001 X RHM-C1-061-DH-010,211,93,671.16,3506.88,138812.65,4.09832409,69,74,5,18.829,8.686666667,2.02,36.96,13.8,73.5,87.5,55.5,356934.38, ,62,50,95,22.11,6.32,0,112.8,79.25,4,33.75,11.66666667,11, ,0.009165856,1071.329773
MF400,1,19,120,MOB-C1-007-SSD-016,MOB-C1-061-SSD-005,MOB-C1-007-SSD-016 X MOB-C1-061-SSD-005,190,82,527.67,2757.13, ,3.256043999,66,72,6,16.266,8.56,2.28,40.73,10,72.5,110,47,374825,318.08,64,40,96,25,0,3.13,116.8,101,7,40.4,14.2,22.4, , , 
MF400,2,2,120,MOB-C1-007-SSD-016,MOB-C1-061-SSD-005,MOB-C1-007-SSD-016 X MOB-C1-061-SSD-005,218,95,585.33,3058.43, ,3.574238186,67,72,5,18.413,9.856666667,2.88,44.18,12.6,80,87.5,65.5,458500, ,62, ,95,22.11,1.05,0, , ,7, , , , , , 
MF400,3,8,120,MOB-C1-007-SSD-016,MOB-C1-061-SSD-005,MOB-C1-007-SSD-016 X MOB-C1-061-SSD-005,203,105,588.91,3077.13, ,3.747513534,66,71,5,17.365,9.78,2.16,40.14,11.4,80.5,107,46,396221,318.75,64,32,99,11.11,0,0,134,111.25,7,40.75,12.5,25.5, , , 
MF400,1,17,121,MOB-C1-007-SSD-023,MOB-C1-036-SSD-017,MOB-C1-007-SSD-023 X MOB-C1-036-SSD-017,225, ,566.42,2959.62,67882.26,3.604399811,70,73,3,18.432,8.04,1.98,39.12,11,77,101,54,419958,337.44,61,44,99,34.34,0,2.02,126.4,98.4,8,45,15.2,22.2, ,0.019173743,2335.439547
MF400,2,1,121,MOB-C1-007-SSD-023,MOB-C1-036-SSD-017,MOB-C1-007-SSD-023 X MOB-C1-036-SSD-017,213,107,621.44,3247.07,66722.18,3.754752855,68,72,4,20.389,9.333333333,2.1,35.63,12.75,79.5,95,62.5,472031.25,225,61,57,94,6.38,2.13,2.13,124.2,88.66666667,6,32.8,15,15, ,0.023479281,2715.433645
MF400,3,1,121,MOB-C1-007-SSD-023,MOB-C1-036-SSD-017,MOB-C1-007-SSD-023 X MOB-C1-036-SSD-017,220,117,524.54,2740.79,52607.39,3.337899024, , , ,21.628,9.426666667,2.34,39.72,14.2,75.5,98,59,436541,282.44,61,20,99,10.1,0,4.04,125,122,6,42.66666667,13.66666667,20.66666667, ,0.021957012,2674.452999
MF400,1,12,122,MOB-C1-007-SSD-002,MOB-C1-036-SSD-003,MOB-C1-007-SSD-002 X MOB-C1-036-SSD-003,195,80,564.01,2947.03,34280.95,3.589063925,66,69,3,18.864,8.526666667,1.54,38.22,5.2,73.5,105.5,43.5,337309.88,386.08,66,68,99,6.06,0,4.04,125.4,98.6,7,43.4,15.2,25.4,58.23195266,0.042137729,5132.546103
MF400,2,8,122,MOB-C1-007-SSD-002,MOB-C1-036-SSD-003,MOB-C1-007-SSD-002 X MOB-C1-036-SSD-003,185,85,514.59,2688.77,50478.9,3.109159564,66,70,4,18.328,7.503333333,2.05,41.18,7.25,68.5,99.5,54.5,371458.38,241.92,67,52,94,27.66,0,0,112.6,92.8,6,36,12.6,19.2,54.57053254,0.027240347,3150.409626
MF400,3,19,122,MOB-C1-007-SSD-002,MOB-C1-036-SSD-003,MOB-C1-007-SSD-002 X MOB-C1-036-SSD-003,164,93,689.67,3603.59,83315.21,4.34434232,66,70,4,18.984,9.07,1.98,37.84,8.4,77,108,49.5,411642,275.88,67,90,98,25.51,0,5.1,134.6,109.6,5,38,11.4,24.2, ,0.021817424,2630.607704
MF400,1,2,123,MOB-C1-059-DH-008,MOB-C1-035-DH-007,MOB-C1-059-DH-008 X MOB-C1-035-DH-007,193,95,557.24,2911.62,25155.81,3.545941026,64,64,0, ,7.353333333,1.86,35.98,11.4,70.5,102.5,48.5,350473.13,396,61,40,99,1.01,90.91,0,138.2,96.6,6,37.6,14.66666667,27,55.05354485,0.054081949,6587.400532
MF400,2,12,123,MOB-C1-059-DH-008,MOB-C1-035-DH-007,MOB-C1-059-DH-008 X MOB-C1-035-DH-007,180,77,609.98,3187.22,44501.45,3.881591174,65,67,2,17.264,7.273333333,1.53,34.3,7.75,59.5,100,49.5,294525,420,60,42,99,1.01,2.02,1.01,134,117.4,6,37.25,14,30,52.81183432,0.035761943,4355.949597
MF400,3,13,123,MOB-C1-059-DH-008,MOB-C1-035-DH-007,MOB-C1-059-DH-008 X MOB-C1-035-DH-007,190,97,648.03,3386.04,32967.26,3.957105044,63,67,4,18.639,8.946666667,1.84,35.24,10.4,69.5,104.5,46,334086.5,360.24,60,32,95,3.16,16.84,0,141.2,117.6,5,41.8,15.8,22.8,53.54532544,0.054425174,6361.359986
MF400,1,20,124,MOB-C1-010-DH-003,RHM-C1-036-DH-023,MOB-C1-010-DH-003 X RHM-C1-036-DH-023,197,105,622.91,3254.78,28023.24,3.643557666,65,67,2,18.837,8.686666667,1.92,35.34,9.8,71,118.5,43,361780.5,482.08,65,38,91,10.99,0,0,123.8,93.6,5,48.2,18.4,26.2,61.7315478,0.060198714,6739.926276
MF400,2,1,124,MOB-C1-010-DH-003,RHM-C1-036-DH-023,MOB-C1-010-DH-003 X RHM-C1-036-DH-023,190,95,451.26,2357.9,17264.37,2.726556671,65,66,1,17.643,8.343333333,2.12,33.26,10.2,67,119.5,49,392318.5,502.2,64,20,94,2.13,0,2.13,135.4,114.8,5,50,18.6,27,54.98508876,0.069187348,8001.678143
MF400,3,18,124,MOB-C1-010-DH-003,RHM-C1-036-DH-023,MOB-C1-010-DH-003 X RHM-C1-036-DH-023,168,95,579.02,3025.42,23327.16,3.312361283,63,68,5,17.248,7.636666667,1.9,32.9,10.4,69.5,116,46.5,374883,560.56,67,8,89,4.49,0,2.25,140.2,119,4,47.6,19.6,28.6, ,0.06344485,6947.249982
MF400,1,12,125,MOB-C1-007-SSD-016,MOB-C1-061-SSD-003,MOB-C1-007-SSD-016 X MOB-C1-061-SSD-003,171,80,563.59,2944.8,69653.06,3.441445874,67,72,5,17.082,8.04,3.14,39.36,13.6,74,113.5,45.5,382154.5,292.13,64,18,95,23.16,0,0,115.4,102.25,7,36.8,14.25,20.5, ,0.022806642,2665.701405
MF400,2,1,125,MOB-C1-007-SSD-016,MOB-C1-061-SSD-003,MOB-C1-007-SSD-016 X MOB-C1-061-SSD-003,183,97,569.02,2973.2,41025.92,3.438068753,67,67,0,18.656,7.86,2.6,35.7,13.4,77.5,105.5,52,425165,301.92,62,26,94,5.32,0,2.13,119.4,107.4,7,42.6,13.6,22.2,55.2295858,0.038111528,4407.687081
MF400,3,18,125,MOB-C1-007-SSD-016,MOB-C1-061-SSD-003,MOB-C1-007-SSD-016 X MOB-C1-061-SSD-003,163,83,541.14,2827.53,57831.35,3.582664706,66,72,6,20.029,6.936666667,2.86,36.54,11.4,76,113.5,46.5,401109,268.8,66,10,103,5.83,0,2.91,121.2,100.8,6,43,14,19.2, ,0.015284673,1936.956737
MF400,1,14,126,MOB-C1-010-DH-003,MOB-C1-061-SSD-025,MOB-C1-010-DH-003 X MOB-C1-061-SSD-025,186,110,426.34,2227.65,23268.51,2.575948447,64,69,5,15.502,7.846666667,1.64,33.8,11.2,75.5,105,42.5,336918.75,294.92,66,54,94,11.7,0,0,93.6,80.8,3,41.6,14.6,20.2, ,0.038799096,4487.205971
MF400,2,7,126,MOB-C1-010-DH-003,MOB-C1-061-SSD-025,MOB-C1-010-DH-003 X MOB-C1-061-SSD-025,167,75,495.66,2589.87,49283.28,3.026663267,66,70,4,17.136,8.293333333,1.28,33.44,7.2,72,117.5,43.5,368010,312,67,32,95,48.42,0,1.05,101.8,88.4,2,42.4,15,20.8, ,0.022076455,2580.355193
MF400,3,19,126,MOB-C1-010-DH-003,MOB-C1-061-SSD-025,MOB-C1-010-DH-003 X MOB-C1-061-SSD-025,173,105,636.77,3327.17,88241.43,3.847377517,65,69,4,17.424,7.01,1.46,34.4,12.2,69.5,111,48,370296,324,67,48,94,40.43,0,0,110.4,94.6,1,41.2,15,21.6, ,0.017645651,2040.760685
MF400,1,8,127,MOB-C1-007-SSD-028,MOB-C1-035-DH-003,MOB-C1-007-SSD-028 X MOB-C1-035-DH-003,185,86,582.81,3045.24, ,3.521368514,67,70,3,16.473,7.473333333,1.8,34.22,11.4,67,114.5,43.5,333710.25,477.36,63,10,94,1.06,0,1.06,135.4,113.4,7,43.6,15.6,30.6, , , 
MF400,2,13,127,MOB-C1-007-SSD-028,MOB-C1-035-DH-003,MOB-C1-007-SSD-028 X MOB-C1-035-DH-003,190,70,556.16,2905.99,18014.34,3.36034782,66,69,3,16.116,6.953333333,1.66,32.88,10.6,70.5,96.5,52,353769,276.48,63,18,94,0,1.06,3.19,111.4,99.2,7,36.6,12.8,21.6,57.82579882,0.07705036,8911.05392
MF400,3,19,127,MOB-C1-007-SSD-028,MOB-C1-035-DH-003,MOB-C1-007-SSD-028 X MOB-C1-035-DH-003,175,87,683.99,3573.92,45523.76,4.176668297,64,70,6,19.323,6.77,2.02,35.16,13.6,74,108,50,399600,320.96,63,14,95,21.05,0,0,126,106.2,6,38.2,13.6,23.6, ,0.029232683,3416.79422
MF400,1,9,128,MOB-C1-007-SSD-020,MOB-C1-061-SSD-006,MOB-C1-007-SSD-020 X MOB-C1-061-SSD-006,223,100,548.6,2866.49, ,3.385194796,68,71,3,17.667,8.193333333,1.82,33.42,10.8,73.5,106,51.5,401236.5,358.88,66,48,96,10.42,0,1.04,120.4,89.6,8,38.6,16.5,21.75, , , 
MF400,2,3,128,MOB-C1-007-SSD-020,MOB-C1-061-SSD-006,MOB-C1-007-SSD-020 X MOB-C1-061-SSD-006,225,108,500.67,2616.03, ,3.121598479,66,72,6,17.268,9.516666667,1.5,32.96,8.8,75.5,102,50.5,388900.5,238.08,63,100,97,10.31,0,2.06,114.2,91,6,40,12.8,18.6, , , 
