Env,Rep,Block,Genotype,Female,Male,PED,PHT,EHT,LAE,LAT,LATP,LAI,DTA,DTS,ASI,SDL,SDU,TW,TSL,TBN,KW,KL,KD,KS,KPP,CAN,ZIP,SC,PBP,LDR,LDS,EL,FILL,STG,EW,ERW,KRW,TWA,IPY,TGY
MF1500,3,12,190,MOB-C1-010-DH-001,RHM-C1-036-DH-002,MOB-C1-010-DH-001 X RHM-C1-036-DH-002,240,110,638.61,3336.82,15497.04,3.940631667,64,65,1, ,6.48,2.1,40.85,11.5,69,116,37,296148,508.8,60,2,96,0,0,2.08,151.4,120.4,3,45.2,16,31.8,59.45893491,0.097650693,11533.81832
MF1500,1,4,191,MOB-C1-007-SSD-014,MOB-C1-036-SSD-004,MOB-C1-007-SSD-014 X MOB-C1-036-SSD-004,231,100,692.46,3618.16,16518.39,4.228368554,65,68,3, ,7.453333333,1.85,45.05,7,61.5,102.5,42,264757.5,526.32,56,20,95,0,0,0,161.2,133.2,3,42,17.2,30.6,59.9,0.099336954,11610.76912
MF1500,2,7,191,MOB-C1-007-SSD-014,MOB-C1-036-SSD-004,MOB-C1-007-SSD-014 X MOB-C1-036-SSD-004,248,88,621.86,3249.28, ,3.597425097,65,69,4, ,7.48,1.3,40.55,6.5,68,116.5,42,332724,454.4,57,30,90,0,0,0,162.2,141.2,4,43.4,16,28.4,57.95088757, , 
MF1500,3,6,191,MOB-C1-007-SSD-014,MOB-C1-036-SSD-004,MOB-C1-007-SSD-014 X MOB-C1-036-SSD-004, , , , , , , , , , , , , , , , , , , , , ,71, , , , , , , , , , , , 
MF1500,1,3,192,MOB-C1-007-SSD-026,MOB-C1-035-DH-001,MOB-C1-007-SSD-026 X MOB-C1-035-DH-001, , , , , , , , , , , , , , , , , , , , , ,77, , , , , , , , , , , , 
MF1500,2,18,192,MOB-C1-007-SSD-026,MOB-C1-035-DH-001,MOB-C1-007-SSD-026 X MOB-C1-035-DH-001,218,100,701.77,3666.84,13815.6,3.924395258,62,62,0, ,6.82,2.4,39,7,68.5,116.5,43.5,347140.875,520.96,62,14,87,0,0,0,167.4,134.6,4,44,17.6,29.6,57.89372781,0.120368549,12884.24044
MF1500,3,19,192,MOB-C1-007-SSD-026,MOB-C1-035-DH-001,MOB-C1-007-SSD-026 X MOB-C1-035-DH-001,190,93,702.6,3671.17,17235.93,4.335488785,64,65,1, ,7.853333333,1.35,32.35,9,64.5,115.5,43.5,324064.125,546.96,62,8,96,0,0,0,153.6,135,2,40.8,17.2,31.8,60.25680473,0.09659652,11409.30677
MF1500,1,9,193,MOB-C1-007-SSD-013,MOB-C1-061-SSD-002,MOB-C1-007-SSD-013 X MOB-C1-061-SSD-002,288,142,822.25,4296.32,19070.48,5.07376073,65,66,1, ,8.16,1.55,40.15,9.5,70,115.5,45,363825,547.2,53,0,96,2.08,0,0,173.8,157.8,5,44,16,34.2,58.33088757,0.102170734,12067.69405
MF1500,2,19,193,MOB-C1-007-SSD-013,MOB-C1-061-SSD-002,MOB-C1-007-SSD-013 X MOB-C1-061-SSD-002,253,120,771.87,4033.12,20449.9,4.316402327,64,67,3, ,7.703333333,1.6,39.4,6.5,70.5,112.5,40.5,321215.625,564.4,55,0,87,2.3,0,0,172.8,153.8,3,41.2,16.6,34,59.01609467,0.08944185,9573.848924
MF1500,3,17,193,MOB-C1-007-SSD-013,MOB-C1-061-SSD-002,MOB-C1-007-SSD-013 X MOB-C1-061-SSD-002,251,101,822.06,4295.33,19010.78,4.702712084,67,68,1, ,7.556666667,2.2,44.9,10.5,67,115,42,323610,581.28,56,12,89,2.25,0,0,159.6,140.2,4,44.6,16.8,34.6,58.41893491,0.102467891,11220.29692
MF1500,1,20,194,MOB-C1-059-DH-002,RHM-C1-035-DH-009,MOB-C1-059-DH-002 X RHM-C1-035-DH-009,250,121,687.07,3590.01,14895.08,4.107149986,63,63,0, ,8.576666667,2,45,7.5,73,117.5,40,343100,499.2,56,0,93,0,0,3.23,161.6,139.2,4,41.8,15.6,32,60.66532544,0.109306015,12507.0116
MF1500,2,16,194,MOB-C1-059-DH-002,RHM-C1-035-DH-009,MOB-C1-059-DH-002 X RHM-C1-035-DH-009,250,129,693.69,3624.62,17898.39,4.28050868,63,63,0, ,6.823333333,1.35,39.65,7,71,103.5,40.5,297614.25,432,61,2,96,0,0,5.21,152.6,126.4,2,40.2,15,28.8,60.50615385,0.091841623,10847.6915
MF1500,3,1,194,MOB-C1-059-DH-002,RHM-C1-035-DH-009,MOB-C1-059-DH-002 X RHM-C1-035-DH-009,220,127,631.68,3300.57,16712.76,3.897828225,63,63,0, ,8.61,1.65,44.1,12,73.5,103.5,35.5,270057.375,489,56,2,96,0,0,1.04,160.6,124.4,2,44,15,32.6,59.03147929,0.089563841,10578.65585
MF1500,1,7,195,MOB-C1-059-DH-003,RHM-C1-035-DH-011,MOB-C1-059-DH-003 X RHM-C1-035-DH-011,209,86,701.4,3664.89,20480.56,4.102643515,63,65,2, ,8.546666667,2.4,38.25,9,77,105,46,371910,447,60,6,91,0,0,0,175.2,136.4,4,41,15,29.8,59.67988166,0.081153984,9086.105594
MF1500,2,4,195,MOB-C1-059-DH-003,RHM-C1-035-DH-011,MOB-C1-059-DH-003 X RHM-C1-035-DH-011, , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , , , 
MF1500,3,14,195,MOB-C1-059-DH-003,RHM-C1-035-DH-011,MOB-C1-059-DH-003 X RHM-C1-035-DH-011, , , , , , , , , , , , , , , , , , , , , ,78, , , , , , , , , , , , 
